question,answer
What services do you provide?,We provide customer support for products orders payments returns and general enquiries.
How can I place an order?,You can place an order through our website by selecting the product adding it to your cart and completing the checkout process.
How can I track my order?,You can track your order using the tracking link provided in your order confirmation email.
How long does delivery take?,Standard delivery usually takes 3 to 7 business days depending on your location.
Can I cancel my order?,Yes you can request cancellation before the order is shipped.
What is your return policy?,Products can generally be returned within 30 days if they are unused and in their original condition.
How can I return a product?,Contact customer support with your order number and return request and we will guide you through the process.
How can I get a refund?,Once the returned product is inspected the refund will be processed to your original payment method.
What payment methods do you accept?,We accept major credit cards debit cards online payment methods and other supported payment options.
My payment failed what should I do?,Please check your payment details and try again. If the problem continues contact customer support.
How can I contact customer support?,You can contact our customer support team through the support section of our website.
What are your customer support hours?,Customer support is available Monday to Saturday from 9 AM to 6 PM.
Can I change my delivery address?,You can request an address change before your order is shipped.
What should I do if my order is damaged?,Please contact customer support with your order number and photographs of the damaged product.
What should I do if I receive the wrong product?,Contact customer support immediately with your order details so we can help resolve the issue.
